Name,Category,SubCategory,THC,CBD,Price,Strain,Brand,Weight,Type,Description
,,,,,,,,,,
Cherry On Top,indica,,,,,,,,indica,"An expansive collection of both novel and timeless genetics on regular rotation, harvested and cured for optimal taste, aroma and experience. (the) Essence genetics are carefully selected, bred and pheno-hunted by a team of local master growers to deliver hand-crafted quality, consistency and variety. -- Cherry on Top offers users a skunky inhale, followed by soft, sweet notes of fruit. Generally producing sedative and calming effects, this strain is often utilized as a nighttime aid for sleep. -- Lineage: Grape Pie x GMO -- Type: Indica -- Effects: Relaxing, Soothing, Sleepy -- Flavors: Skunky, Fruity"
Biskanté,sativa,,,,,,,,sativa,"Absolutely incredible taste and smell on this new strain from Alien Labs. Biscotti-style flavor with a pound of sweetness. We’ve crossed a lot of lemon strains and they usually always carry a very heavy lemon terp, and while this has some of the same sweetness, it’s very mild on the lemon - turning this into something pretty damn unique. The same effect can be described as a Sativa-dominant hybrid. ----- Sativa Dominant Hybrid Lineage: Melonade x Biscotti #6 ----- Prominent terpenes: D-Limonene, β-Caryophyllene, α-Humulene"
OZ Kush,hybrid,,,,,,,,hybrid,"The OZ Kush strain pays homage to the legendary West Coast cultivar, OG Kush. Seasoned stoners will be blown away by the potency and aromatic profile of this cross. Bred with intention by crossing premium cuts of old-school Kush with the Original Z strain, OZ Kush checks all the boxes. Don’t be surprised if you’re transported back in time when you pop open the package. OZ Kush greets the nose with a distinctive scent that connoisseurs love - sweet and sour, with a punch of gassiness. The nugs are dense and sticky with a variety of green and purple hues, and a heavy coating of pistils and trichomes that may make your mouth water. This hybrid strain offers consumers a mellow euphoria that may influence giggly conversations and creative motivation. If you like strains that have the potential to provide stress relief and full-bodied relaxation but don’t come on too strong, OZ Kush might become your new favorite. ----- Hybrid Lineage: OG Kush x ZKZ ----- Prominent terpenes: _-Caryophyllene, _-Humulene, D-Limonene"
Planet Red,hybrid,,,,,,,,hybrid,"Flower so loud you can smell it through the freshness seal. Its sweet and Yellow Gum aroma with minty high notes will make your mouth water the moment you open the jar. Deep greens and bushy pistils are all unified by a thick glaze of trichomes giving the flower a silvery frosted look. In fact, these dense and sticky little pine trees look like they got caught in a snow storm. The flavor profile is pleasantly sweet and sugary on the pull, with a prominent and biting tarry exhale. This strain will untie the knots in your mind and soothe the knots in your body just like a warm bath. A balanced hybrid with highly relaxing properties, great for sore muscles or just an end of the day smoke. ----- Hybrid Lineage: Red Pop x Apples & Bananas #9 ----- Prominent terpenes: ?-Caryophyllene, D-Limonene, Linalool"
Xeno,indica,,,,,,,,indica,"Xeno is the perfect combination of the sweetness you love from the ZKZ with just the right amount of diesel from the Kush Mints, giving it a Trix cereal taste. Light green tight dense buds, with wild yellow hairs. Slight hints of purple hues. Just a few hits and you'll find yourself drifting off into space. ----- Indica Dominant Hybrid Lineage: ZKZ x Kush Mints ----- Prominent terpenes: D-Limonene, _-Caryophyllene, Linalool"
Purple Dinosaur,hybrid,,,,,,,,hybrid,"Name Origin: Back in 2010 Jordan grew a purple sour diesel cut with a dear friend of his, Jordan Walberg. They called the strain Barney. Jordan Walberg has since passed and the name has been in the strain name bank since waiting for the perfect flower.  -- Aroma/Taste: Fermented fruit, heavy floral notes -- Effects: Nice chill high, social weed"
Free MAC,hybrid,,,,,,,,hybrid,"Classix delivers those timeless, mellow tokes. Our high quality flower is made for those looking to remix the good times."
Gelato,hybrid,,,,,,,,hybrid,"Classix delivers those timeless, mellow tokes. Our high quality popcorn flower is made for those looking to remix the good times."
Honey Hiker,hybrid,,,,,,,,hybrid,"Classix delivers those timeless, mellow tokes. Our high quality flower is made for those looking to remix the good times."
Cherry On Top,indica,,,,,,,,indica,"An expansive collection of both novel and timeless genetics on regular rotation, harvested and cured for optimal taste, aroma and experience. (the) Essence genetics are carefully selected, bred and pheno-hunted by a team of local master growers to deliver hand-crafted quality, consistency and variety. -- Cherry on Top offers users a skunky inhale, followed by soft, sweet notes of fruit. Generally producing sedative and calming effects, this strain is often utilized as a nighttime aid for sleep. -- Lineage: Grape Pie x GMO -- Type: Indica -- Effects: Relaxing, Soothing, Sleepy -- Flavors: Skunky, Fruity"
Strawberries N Cream [.5g],pre-roll,,,,,,,,pre-roll,"Discover Mini Doinks, our half-gram prerolls infused with THCa Diamonds, available in convenient 2 and 5 packs. Each Mini Doink combines premium flower with THCa Diamonds for a pure experience, free from additives. Enjoy a quick response and the perfect blend for a shared sesh with friends."
Alien Banana Candy [.5g],pre-roll,,,,,,,,pre-roll,Diamond shelf flower pre-roll infused with premium distillate and rolled in kief. Want more Achieve? Follow us on Instagram: @achieveconcentratesaz
Berry Bliss [1000mg],vape,,,,,,,,vape,"The Berry Bliss Indica brings you tranquil reflection and placid logic. Grant yourself serenity and relief with after-dinner tastes of berries and whipped cream. -- Grant yourself serenity with Artisan Series Berry Bliss. As you inhale, treat yourself to the sweet tastes of berries and whipped cream dessert as you feel peace-of-mind wash over. As you exhale, delight yourself with pleasure as aromas of fresh dessert fill the air. Quiet your mind and feel relief as you sink into your evening for some after-dinner chill time. This Indica brings you tranquil reflection and placid logic."
Black Mamba [1000mg],vape,,,,,,,,vape,"Adopt the best version of yourself with the Artisan Series Black Mamba mindset. Black Mamba instantly brings you sweet juicy blackberries with a squeeze of fresh-picked citrus. The delicate citrus tang thrills your palate with a smooth, refreshing bite. As you inhale, awaken your soul to groove through your day and rule your jungle. Slither into a harmonized creativity-mode, and finish with energized relief as you start your morning. -- We formulated our Artisan Series to bring instant delight to your day because we know you embrace premium experiences. Our tangy tastes and swanky scents add a sophisticated element to your vaping experience. Our Artisan Series, made from pure distillate oil, is our exclusive fusion of trademarked tastes, derived 100% from naturally occurring botanical terpenes. Arouse your palate with vapor full of colorful fruit, floral, and savory notes. Inhale for enticing tastes, and exhale to fill the room with sensational aromas. Whether you’re reviving your mind or settling into tranquil bliss, our blends pair well with any time of day."
Atomic Apple,pre-roll,,,,,,,,pre-roll,"Atomic Apple is truly out of this world with its beautiful bud structure looking like a meteor coming out of orbit. Deep shades of purple look like the cosmic nebula, surrounded by tones of green hues, & small orange hairs tightly clustered. Tastes like sour apple candy with hints of fuel and vanilla cream terpenes. The high-testing cannabinoid profiles will take you to another dimension. ----- Hybrid Lineage: Triangle Mints x Apple Fritter ----- Prominent terpenes: D-Limonene, β-Myrcene, β-Caryophyllene"
Biskanté,sativa,,,,,,,,sativa,"Absolutely incredible taste and smell on this new strain from Alien Labs. Biscotti-style flavor with a pound of sweetness. We’ve crossed a lot of lemon strains and they usually always carry a very heavy lemon terp, and while this has some of the same sweetness, it’s very mild on the lemon - turning this into something pretty damn unique. The same effect can be described as a Sativa-dominant hybrid. ----- Sativa Dominant Hybrid Lineage: Melonade x Biscotti #6 ----- Prominent terpenes: D-Limonene, β-Caryophyllene, α-Humulene"
BK Satellite,pre-roll,,,,,,,,pre-roll,"BK Satellite is a hybrid strain crossing Legend of Nigeria with Milky Way. Expect a sweet aroma with flavors of fruitiness and spice. The effects are relaxing, and full-bodied thanks to the heavy indica influence. Expertly picked at peak freshness just light up to transport yourself straight into another galaxy. ----- Hybrid Lineage: Legend Of Nigeria x Milky Way ----- Prominent terpenes: β-Caryophyllene, D-Limonene, β-Myrcene"
OZ Kush,hybrid,,,,,,,,hybrid,"The OZ Kush strain pays homage to the legendary West Coast cultivar, OG Kush. Seasoned stoners will be blown away by the potency and aromatic profile of this cross. Bred with intention by crossing premium cuts of old-school Kush with the Original Z strain, OZ Kush checks all the boxes. Don’t be surprised if you’re transported back in time when you pop open the package. OZ Kush greets the nose with a distinctive scent that connoisseurs love - sweet and sour, with a punch of gassiness. The nugs are dense and sticky with a variety of green and purple hues, and a heavy coating of pistils and trichomes that may make your mouth water. This hybrid strain offers consumers a mellow euphoria that may influence giggly conversations and creative motivation. If you like strains that have the potential to provide stress relief and full-bodied relaxation but don’t come on too strong, OZ Kush might become your new favorite. ----- Hybrid Lineage: OG Kush x ZKZ ----- Prominent terpenes: _-Caryophyllene, _-Humulene, D-Limonene"
